"DIRECCION","LOCALIDAD","provincia","NUMERO"
"C/ TOMAS AQUINO, Nº 1, 5º Y 6º 14004 CORDOBA Secretaria Delegado Provincial..","CORDOBA","Córdoba",1
"Ctra. de Ronda nº 120 - Juzgado de Primera Instancia Nº5 de Almería","ALMERIA","Almería",1
"C/ Adarve, nº 2","CORDOBA","Córdoba",1
"PLAZA DE ANTONIO PIGAFETTA S/N SANLUCAR DE BARRAMEDA- Juzgado de Primera Instancia e Instrucción Nº2 de Sanlúcar de Barrameda","SANLUCAR DE BARRAMEDA","Cádiz",1
"PLZA NUEVA 4","SEVILLA","Sevilla",1
"EDIFICIO ESTADIO OLIMPICO, Torre Noroeste Estadio Olímpico de Sevilla Isla de la Cartuja","SEVILLA","Sevilla",1
"C/ TABLADILLA, S/N EDIFICIO 11 6ª PLANTA 41013 SEVILLA OFICINA PROCESO DE DATOS","SEVILLA","Sevilla",1
"Plaza de la Constitución, 4 CADIZ Juzgado de Instrucción Nº2 de Córdoba","CORDOBA","Córdoba",1
"PLAZA DE LA CONSTITUCION, S/N ALGECIRAS *Juzgado de Primera Instancia Nº1 de Algeciras*","ALGECIRAS","Cádiz",1
"Ctra. de Ronda nº 120-Juzgado de Violencia sobre la Mujer Nº1 de Almería","ALMERIA","Almería",1
"C/ CUESTA DE LAS CALESAS, S/N -Fiscalía Provincial de Cádiz","CADIZ","Cádiz",1
"C/ Alonso Sánchez, 1","HUELVA","Huelva",1
"Avda. de Europa, 99-Juzgado de Primera Instancia e Instrucción Nº2 de Martos","MARTOS","Jaén",1
"C/ LOS BALBOS, S/N CADIZ - Juzgado de Instrucción Nº4 de Cádiz","CADIZ","Cádiz",1
"C/ TABLADILLA, S/N 41013 SEVILLA EDIFICIO 11 6ª PLANTA- OFICINA PROCESO DE DATOS","SEVILLA","Sevilla",1
"PLZA CONSTITUCION S/N","CORDOBA","Córdoba",1
"Avda. de Europa,99 MARTOS Juzgado de Primera Instancia e Instrucción Nº2 de Martos","MARTOS","Jaén",1
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA - Juzgado de lo Social Nº1 de Málaga","MALAGA","Málaga",1
